"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000100160",105.74666527453,0.725585883631308,0.142514591232741,0,1,1
"ENSMUSG00000081185",606.211253963377,0.215276410085,0.0590625944446862,0,1,1
"ENSMUSG00000100033",2794.09308409367,2.0003868987513,0.0320927730932683,31.1717188117076,2.57608000744856e-213,2.09799342202865e-211
"ENSMUSG00000056763",1716.20218229451,-0.256969083478674,0.0358167758718321,0,1,1
"ENSMUSG00000100816",27.4497490259511,1.01777674345476,0.28483825725232,0.0624099572376428,0.950236365690225,1
"ENSMUSG00000026109",4018.21982567669,-0.342720532063923,0.0235583144787744,0,1,1
"ENSMUSG00000026475",72.4016690994783,1.53815974488062,0.185433516458474,2.90217084353858,0.00370586376730559,0.0240140525855249
"ENSMUSG00000045954",1679.48160078864,1.84668940113736,0.0403193088846169,20.9996010487272,6.61385884426682e-98,3.01130208324138e-96
"ENSMUSG00000099741",101.274155814129,1.35892269969727,0.153308191642001,2.34118409364196,0.0192226860416727,0.11534276539775
"ENSMUSG00000066800",34.2780401774871,-1.66059655404439,0.309549019985338,-2.13406120321648,0.0328377711732099,0.191474560182074
"ENSMUSG00000067851",6826.43742404313,-0.0454764243127234,0.0177408249719315,0,1,1
"ENSMUSG00000100648",80.4575416974662,4.61409464168077,0.372311278216893,9.70718550077161,2.80988787254442e-22,4.53003019749332e-21
"ENSMUSG00000045968",33.4889176662676,-1.61620243605562,0.310343912704515,-1.98554703614348,0.0470836424106813,0.269202354943339
"ENSMUSG00000026107",1169.53852656193,0.175579158883988,0.042551693616591,0,1,1
"ENSMUSG00000101986",191.036520160437,0.978485666836879,0.107647622041593,0,1,1
"ENSMUSG00000087008",958.766606549597,0.467081299389774,0.0469637048552162,0,1,1
"ENSMUSG00000100561",96.6089358019506,4.27830406454124,0.306432414607294,10.6982940063391,1.03669251854523e-26,1.8930005388636e-25
"ENSMUSG00000026473",5227.35916664947,-0.843769712049498,0.0217916166474637,0,1,1
"ENSMUSG00000055980",2692.10330123124,-0.477513177830748,0.0291215203562534,0,1,1
"ENSMUSG00000048960",4402.87663362904,0.157606009806266,0.0219393842818787,0,1,1
"ENSMUSG00000026142",3877.98412936879,-0.416031338523334,0.0241281319531736,0,1,1
"ENSMUSG00000004110",388.742217977381,-2.17865136378496,0.10327210791504,-11.413065808191,3.59819390142633e-30,7.16623072422992e-29
"ENSMUSG00000096950",82.829800612064,-0.416178007376104,0.165094039299163,0,1,1
"ENSMUSG00000056708",14055.7776230836,-0.452072402604638,0.0127152611250824,0,1,1
"ENSMUSG00000026471",66.6296174470177,-0.362935973964195,0.183243467012854,0,1,1
"ENSMUSG00000026470",4920.93311655419,-0.138474592575559,0.0209943551601971,0,1,1
"ENSMUSG00000101610",55.8185105213453,3.30484593437944,0.305059339247353,7.55540197545169,4.17568204871069e-14,5.05834891752684e-13
"ENSMUSG00000026150",4693.32559511868,-0.199455642048881,0.0215760184092941,0,1,1
"ENSMUSG00000100744",161.985354427,0.766346999649883,0.115371174478024,0,1,1
"ENSMUSG00000026469",4432.16272926207,-0.452901799601036,0.0226442956518566,0,1,1
"ENSMUSG00000018417",3195.05716773074,-0.050692867948109,0.0259374866130883,0,1,1
"ENSMUSG00000072324",449.40578800051,1.03817125136582,0.0705109078860319,0.541352430570325,0.588264688395673,1
"ENSMUSG00000026490",8636.9763070366,-0.0540393584826402,0.0157784816735683,0,1,1
"ENSMUSG00000033701",3365.11306889854,-0.19423211700006,0.0254721710382202,0,1,1
"ENSMUSG00000078291",424.954575995228,1.35307297022181,0.0747911727254397,4.7207839823284,2.34937345384771e-06,1.93149674426048e-05
"ENSMUSG00000109599",29.2207046001683,-1.85269497663673,0.349301106749782,-2.44114593443744,0.0146407370689937,0.0892071885970611
"ENSMUSG00000033684",15052.4510653452,-0.78449639647293,0.0127435881425306,0,1,1
"ENSMUSG00000016918",347.069340835547,-1.07879788099362,0.0874996619777984,-0.900550690282788,0.367827262196965,1
"ENSMUSG00000033671",2419.62612109069,-0.145772133958112,0.0299520753758468,0,1,1
"ENSMUSG00000026489",324.57934926579,-0.934026356361247,0.0885448713714516,0,1,1
"ENSMUSG00000026159",6587.34797728644,-0.0523071738657572,0.0180655626208527,0,1,1
